mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Indonesia Other,Indonesia,LT Avail AA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Indonesia Other,Indonesia,Total Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
Indonesia Other,Indonesia,LT React. Silica,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Indonesia Other,Indonesia,Total Silica,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Indonesia Other,Indonesia,Monhydrate,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
Indonesia Other,Indonesia,Moisture,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Indonesia Other,Indonesia,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Indonesia Other,Indonesia,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Indonesia Other,Indonesia,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Indonesia Other,Indonesia,quartz,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Indonesia Other,Indonesia,LT processing,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777
Indonesia Other,Indonesia,HT-B processing,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475,2.8308563340410475
Indonesia Other,Indonesia,HT-D processing,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143,3.365983372042143
Indonesia Other,Indonesia,LT processing,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625
Indonesia Other,Indonesia,HT-B processing,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065,0.14780254777070065
Indonesia Other,Indonesia,HT-D processing,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871,0.2625467030192871
Indonesia Other,Indonesia,LT - Alumina,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465
Indonesia Other,Indonesia,HT-B - Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
Indonesia Other,Indonesia,HT-D - Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
Indonesia Other,Indonesia,LT - Silica,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Indonesia Other,Indonesia,HT-B - Silica,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975
Indonesia Other,Indonesia,HT-D - Silica,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Indonesia Other,Indonesia,Moisture,0.13,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,2015 C1 mining cost,9.363139438,9.363139438,7.568660306,8.0,8.092803782,8.129192961000001,,,,,,,,,,,
Indonesia Other,Indonesia,Duties and royalties,11.7039243,11.7039243,9.460825382000001,10.0,10.11600473,10.1614912,,,,,,,,,,,
Indonesia Other,Indonesia,2015 C1 transp. cost inc ship loading,5.798063562,5.798063562,5.047976535,5.0,5.195604222,5.251470933999999,,,,,,,,,,,
Indonesia Other,Indonesia,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Indonesia Other,Indonesia,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,% mining cost = diesel,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,other mining cost %,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,other royalties n duties cost %,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,% transport cost = diesel,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,other transport cost %,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,mining cost broken down - diesel,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,mining cost broken down - other,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,new mining cost - diesel,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,new mining cost - local denomination,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,new mining cost - other,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,new mining cost - Total,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,new royalties n duties cost - other,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,transport cost broken down - diesel,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,transport cost broken down - local denomination,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,transport cost broken down - other,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,new transport cost - diesel,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,new transport cost - local denomination,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,new transport cost - other,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,new transport cost - Total,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,Freight on Panamax,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,Freight on Capesize,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,Freight for vessel choosen,,,,,,,,,,,,,,,,,
Indonesia Other,Indonesia,Capital cost of mine (inc. all infrasturure for export),10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Indonesia Other,Indonesia,Life of mine,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Indonesia Other,Indonesia,constructiuon period for mine & infrastructure,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Indonesia Other,Indonesia,IRR required for project,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Indonesia Other,Indonesia,Sustaining Capital Charge ($/t),1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002,1.5000000000000002
Indonesia Other,Indonesia,Partner & Other payments,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia Other,Indonesia,capital payback charge - before adjustment,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433,-2.191772687693433
Indonesia Other,Indonesia,"adjustment (new project, expansion, old mine)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia Other,Indonesia,capital payback charge,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Indonesia Other,Indonesia,C1 Cost FOB,26.8651273,26.8651273,22.077462223,23.0,23.404412734,23.542155095000002,,,,,,,,,,,
