mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Jajce,Bosnia,LT Avail AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jajce,Bosnia,Total Alumina,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
Jajce,Bosnia,LT React. Silica,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Jajce,Bosnia,Total Silica,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Jajce,Bosnia,Monhydrate,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Jajce,Bosnia,Moisture,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jajce,Bosnia,Bauxite style,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D
Jajce,Bosnia,Total Organic Carbon,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Jajce,Bosnia,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Jajce,Bosnia,quartz,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995
Jajce,Bosnia,LT processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jajce,Bosnia,HT-B processing,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003,2.2002200220022003
Jajce,Bosnia,HT-D processing,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461,2.285296402943461
