mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Kuantan,Malaysia,LT Avail AA,0.375,0.375,0.375,0.375,0.375,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388
Kuantan,Malaysia,Total Alumina,0.4175,0.4175,0.4175,0.4175,0.4175,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
Kuantan,Malaysia,LT React. Silica,0.0325,0.0325,0.0325,0.0325,0.0325,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037
Kuantan,Malaysia,Total Silica,0.056666667,0.056666667,0.056666667,0.056666667,0.056666667,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042
Kuantan,Malaysia,Monhydrate,0.01,0.01,0.01,0.01,0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
Kuantan,Malaysia,Moisture,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
Kuantan,Malaysia,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Kuantan,Malaysia,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Kuantan,Malaysia,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Kuantan,Malaysia,quartz,0.024166666999999996,0.024166666999999996,0.024166666999999996,0.024166666999999996,0.024166666999999996,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044
Kuantan,Malaysia,LT processing,2.962962962962963,2.962962962962963,2.962962962962963,2.962962962962963,2.962962962962963,2.8636884306987396,2.8636884306987396,2.8636884306987396,2.8636884306987396,2.8636884306987396,2.8636884306987396,2.8636884306987396,2.8636884306987396,2.8636884306987396,2.8636884306987396,2.8636884306987396,2.8636884306987396
Kuantan,Malaysia,HT-B processing,2.979515830009467,2.979515830009467,2.979515830009467,2.979515830009467,2.979515830009467,2.845354958031014,2.845354958031014,2.845354958031014,2.845354958031014,2.845354958031014,2.845354958031014,2.845354958031014,2.845354958031014,2.845354958031014,2.845354958031014,2.845354958031014,2.845354958031014
Kuantan,Malaysia,HT-D processing,3.1946840495138917,3.1946840495138917,3.1946840495138917,3.1946840495138917,3.1946840495138917,2.936805812526064,2.936805812526064,2.936805812526064,2.936805812526064,2.936805812526064,2.936805812526064,2.936805812526064,2.936805812526064,2.936805812526064,2.936805812526064,2.936805812526064,2.936805812526064
Kuantan,Malaysia,LT processing,0.08666666666666667,0.08666666666666667,0.08666666666666667,0.08666666666666667,0.08666666666666667,0.09536082474226802,0.09536082474226802,0.09536082474226802,0.09536082474226802,0.09536082474226802,0.09536082474226802,0.09536082474226802,0.09536082474226802,0.09536082474226802,0.09536082474226802,0.09536082474226802,0.09536082474226802
Kuantan,Malaysia,HT-B processing,0.06490223509828033,0.06490223509828033,0.06490223509828033,0.06490223509828033,0.06490223509828033,0.043402048655569785,0.043402048655569785,0.043402048655569785,0.043402048655569785,0.043402048655569785,0.043402048655569785,0.043402048655569785,0.043402048655569785,0.043402048655569785,0.043402048655569785,0.043402048655569785,0.043402048655569785
Kuantan,Malaysia,HT-D processing,0.10861925832240912,0.10861925832240912,0.10861925832240912,0.10861925832240912,0.10861925832240912,0.0740075064756568,0.0740075064756568,0.0740075064756568,0.0740075064756568,0.0740075064756568,0.0740075064756568,0.0740075064756568,0.0740075064756568,0.0740075064756568,0.0740075064756568,0.0740075064756568,0.0740075064756568
Kuantan,Malaysia,LT - Alumina,0.4075,0.4075,0.4075,0.4075,0.4075,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
Kuantan,Malaysia,HT-B - Alumina,0.4175,0.4175,0.4175,0.4175,0.4175,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
Kuantan,Malaysia,HT-D - Alumina,0.4175,0.4175,0.4175,0.4175,0.4175,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
