mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Los Pijiguaos,Venezuela,LT Avail AA,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
Los Pijiguaos,Venezuela,Total Alumina,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Los Pijiguaos,Venezuela,LT React. Silica,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Los Pijiguaos,Venezuela,Total Silica,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Los Pijiguaos,Venezuela,Monhydrate,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Los Pijiguaos,Venezuela,Moisture,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Los Pijiguaos,Venezuela,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Los Pijiguaos,Venezuela,Total Organic Carbon,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Los Pijiguaos,Venezuela,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Los Pijiguaos,Venezuela,quartz,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995
Los Pijiguaos,Venezuela,LT processing,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357
Los Pijiguaos,Venezuela,HT-B processing,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418
Los Pijiguaos,Venezuela,HT-D processing,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516,2.5472515156146516
Los Pijiguaos,Venezuela,LT processing,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
Los Pijiguaos,Venezuela,HT-B processing,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099,0.06098901098901099
Los Pijiguaos,Venezuela,HT-D processing,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745,0.09170105456212745
Los Pijiguaos,Venezuela,LT - Alumina,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Los Pijiguaos,Venezuela,HT-B - Alumina,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Los Pijiguaos,Venezuela,HT-D - Alumina,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Los Pijiguaos,Venezuela,LT - Silica,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Los Pijiguaos,Venezuela,HT-B - Silica,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055
Los Pijiguaos,Venezuela,HT-D - Silica,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Los Pijiguaos,Venezuela,Moisture,0.13,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,2015 C1 mining cost,16.0,16.0,13.45101699,14.22120089,14.24484213,14.26848336,,,,,,,,,,,
Los Pijiguaos,Venezuela,Duties and royalties,8.0,8.0,6.725508495,7.110600446,7.122421062999999,7.13424168,,,,,,,,,,,
Los Pijiguaos,Venezuela,2015 C1 transp. cost inc ship loading,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Los Pijiguaos,Venezuela,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Los Pijiguaos,Venezuela,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,% mining cost = diesel,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,other mining cost %,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,other royalties n duties cost %,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,% transport cost = diesel,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,other transport cost %,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,mining cost broken down - diesel,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,mining cost broken down - other,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,new mining cost - diesel,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,new mining cost - local denomination,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,new mining cost - other,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,new mining cost - Total,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,new royalties n duties cost - other,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,transport cost broken down - diesel,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,transport cost broken down - local denomination,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,transport cost broken down - other,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,new transport cost - diesel,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,new transport cost - local denomination,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,new transport cost - other,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,new transport cost - Total,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,Freight on Panamax,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,Freight on Capesize,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,Freight for vessel choosen,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,Capital cost of mine (inc. all infrasturure for export),30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Los Pijiguaos,Venezuela,Life of mine,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Los Pijiguaos,Venezuela,constructiuon period for mine & infrastructure,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Los Pijiguaos,Venezuela,IRR required for project,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Los Pijiguaos,Venezuela,Sustaining Capital Charge ($/t),2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125
Los Pijiguaos,Venezuela,Partner & Other payments,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Pijiguaos,Venezuela,capital payback charge - before adjustment,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739
Los Pijiguaos,Venezuela,"adjustment (new project, expansion, old mine)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Pijiguaos,Venezuela,capital payback charge,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Los Pijiguaos,Venezuela,C1 Cost FOB,24.0,24.0,20.176525485,21.331801336,21.367263193,21.40272504,,,,,,,,,,,
Los Pijiguaos,Venezuela,C1 Cost CFR Shandong,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,Cost FOB inc. Sustaining Capital,26.8125,26.8125,22.989025485,24.144301336,24.179763193,24.21522504,,,,,,,,,,,
Los Pijiguaos,Venezuela,Cost CFR inc. Sustaining Capital,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,Full cost FOB,26.8125,26.8125,22.989025485,24.144301336,24.179763193,24.21522504,,,,,,,,,,,
Los Pijiguaos,Venezuela,Full cost CFR Shandong = Incentive price,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,Price CFR Shandong - not in use,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,Margin C1,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,Margin inc. Sustaining Capital,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,Margin at Full Cost,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Los Pijiguaos,Venezuela,Alumina (%),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Los Pijiguaos,Venezuela,Silica (%),0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Los Pijiguaos,Venezuela,Moisture (%),0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Los Pijiguaos,Venezuela,t/t (dry bauxite/alumina),2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357,2.4691358024691357
Los Pijiguaos,Venezuela,2015 C1 mining cost ($/t),16.0,16.0,13.45101699,14.22120089,14.24484213,14.26848336,,,,,,,,,,,
Los Pijiguaos,Venezuela,2015 C1 transp. cost ($/t),0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Los Pijiguaos,Venezuela,ST Freight to China ($/dmt),,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,C1 Cost CFR,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,C1 Cost FOB,24.0,24.0,20.176525485,21.331801336,21.367263193,21.40272504,,,,,,,,,,,
Los Pijiguaos,Venezuela,Capital Payback ($/t)Charge,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739,-6.427075470875739
Los Pijiguaos,Venezuela,Sustaining Capital Charge ($/t),2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125
Los Pijiguaos,Venezuela,Cash + Sustaining Capital CFR,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,Full Cost,,,,,,,,,,,,,,,,,
Los Pijiguaos,Venezuela,Mine Gate,16.0,16.0,13.45101699,14.22120089,14.24484213,14.26848336,,,,,,,,,,,
Los Pijiguaos,Venezuela,Other processing penalties (US$/t_bx),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
