mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Milici (Vlasenica),Bosnia,LT Avail AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milici (Vlasenica),Bosnia,Total Alumina,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
Milici (Vlasenica),Bosnia,LT React. Silica,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Milici (Vlasenica),Bosnia,Total Silica,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Milici (Vlasenica),Bosnia,Monhydrate,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
Milici (Vlasenica),Bosnia,Moisture,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Milici (Vlasenica),Bosnia,Bauxite style,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D
Milici (Vlasenica),Bosnia,Total Organic Carbon,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Milici (Vlasenica),Bosnia,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Milici (Vlasenica),Bosnia,quartz,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009
Milici (Vlasenica),Bosnia,LT processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milici (Vlasenica),Bosnia,HT-B processing,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418,2.4420024420024418
Milici (Vlasenica),Bosnia,HT-D processing,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218,2.5607538859440218
Milici (Vlasenica),Bosnia,LT processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milici (Vlasenica),Bosnia,HT-B processing,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011,0.070989010989011
Milici (Vlasenica),Bosnia,HT-D processing,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892,0.10755166320964892
Milici (Vlasenica),Bosnia,LT - Alumina,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Milici (Vlasenica),Bosnia,HT-B - Alumina,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
Milici (Vlasenica),Bosnia,HT-D - Alumina,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
Milici (Vlasenica),Bosnia,LT - Silica,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Milici (Vlasenica),Bosnia,HT-B - Silica,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Milici (Vlasenica),Bosnia,HT-D - Silica,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Milici (Vlasenica),Bosnia,Moisture,0.1,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,2015 C1 mining cost,15.0,15.0,12.31032843,13.03237584,13.05453949,13.07670315,,,,,,,,,,,
Milici (Vlasenica),Bosnia,Duties and royalties,6.0,6.0,4.9241313710000005,5.212950333999999,5.221815797,5.23068126,,,,,,,,,,,
Milici (Vlasenica),Bosnia,2015 C1 transp. cost inc ship loading,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Milici (Vlasenica),Bosnia,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Milici (Vlasenica),Bosnia,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,% mining cost = diesel,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,other mining cost %,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,other royalties n duties cost %,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,% transport cost = diesel,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,other transport cost %,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,mining cost broken down - diesel,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,mining cost broken down - other,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,new mining cost - diesel,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,new mining cost - local denomination,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,new mining cost - other,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,new mining cost - Total,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,new royalties n duties cost - other,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,transport cost broken down - diesel,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,transport cost broken down - local denomination,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,transport cost broken down - other,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,new transport cost - diesel,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,new transport cost - local denomination,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,new transport cost - other,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,new transport cost - Total,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,Freight on Panamax,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,Freight on Capesize,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,Freight for vessel choosen,,,,,,,,,,,,,,,,,
Milici (Vlasenica),Bosnia,Capital cost of mine (inc. all infrasturure for export),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Milici (Vlasenica),Bosnia,Life of mine,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Milici (Vlasenica),Bosnia,constructiuon period for mine & infrastructure,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Milici (Vlasenica),Bosnia,IRR required for project,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Milici (Vlasenica),Bosnia,Sustaining Capital Charge ($/t),1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668
Milici (Vlasenica),Bosnia,Partner & Other payments,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milici (Vlasenica),Bosnia,capital payback charge - before adjustment,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007,-2.584111744996007
Milici (Vlasenica),Bosnia,"adjustment (new project, expansion, old mine)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milici (Vlasenica),Bosnia,capital payback charge,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
