mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Mirai,Brazil,LT Avail AA,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
Mirai,Brazil,Total Alumina,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
Mirai,Brazil,LT React. Silica,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Mirai,Brazil,Total Silica,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Mirai,Brazil,Monhydrate,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Mirai,Brazil,Moisture,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Mirai,Brazil,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Mirai,Brazil,Total Organic Carbon,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Mirai,Brazil,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Mirai,Brazil,quartz,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Mirai,Brazil,LT processing,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747,2.5839793281653747
Mirai,Brazil,HT-B processing,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207,2.6143790849673207
