mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Niksic,Montenegro,LT Avail AA,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Niksic,Montenegro,Total Alumina,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
Niksic,Montenegro,LT React. Silica,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Niksic,Montenegro,Total Silica,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
Niksic,Montenegro,Monhydrate,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
Niksic,Montenegro,Moisture,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Niksic,Montenegro,Bauxite style,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B
Niksic,Montenegro,Total Organic Carbon,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Niksic,Montenegro,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Niksic,Montenegro,quartz,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044
Niksic,Montenegro,LT processing,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407,7.407407407407407
Niksic,Montenegro,HT-B processing,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785,1.9930244145490785
Niksic,Montenegro,HT-D processing,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206,2.0314674304984206
Niksic,Montenegro,LT processing,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Niksic,Montenegro,HT-B processing,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543,0.03448430493273543
Niksic,Montenegro,HT-D processing,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835,0.042660816040466835
Niksic,Montenegro,LT - Alumina,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Niksic,Montenegro,HT-B - Alumina,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
Niksic,Montenegro,HT-D - Alumina,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
Niksic,Montenegro,LT - Silica,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Niksic,Montenegro,HT-B - Silica,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325
Niksic,Montenegro,HT-D - Silica,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
Niksic,Montenegro,Moisture,0.09,,,,,,,,,,,,,,,,
Niksic,Montenegro,2015 C1 mining cost,27.0,27.0,22.14761682,23.44730216,23.48719674,23.52709132,,,,,,,,,,,
Niksic,Montenegro,Duties and royalties,10.0,10.0,8.202821046,8.684185983999999,8.698961755,8.713737526000001,,,,,,,,,,,
Niksic,Montenegro,2015 C1 transp. cost inc ship loading,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Niksic,Montenegro,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Niksic,Montenegro,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Niksic,Montenegro,% mining cost = diesel,,,,,,,,,,,,,,,,,
Niksic,Montenegro,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
Niksic,Montenegro,other mining cost %,,,,,,,,,,,,,,,,,
Niksic,Montenegro,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
Niksic,Montenegro,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,
Niksic,Montenegro,other royalties n duties cost %,,,,,,,,,,,,,,,,,
Niksic,Montenegro,% transport cost = diesel,,,,,,,,,,,,,,,,,
Niksic,Montenegro,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,
Niksic,Montenegro,other transport cost %,,,,,,,,,,,,,,,,,
Niksic,Montenegro,mining cost broken down - diesel,,,,,,,,,,,,,,,,,
Niksic,Montenegro,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,
Niksic,Montenegro,mining cost broken down - other,,,,,,,,,,,,,,,,,
Niksic,Montenegro,new mining cost - diesel,,,,,,,,,,,,,,,,,
Niksic,Montenegro,new mining cost - local denomination,,,,,,,,,,,,,,,,,
Niksic,Montenegro,new mining cost - other,,,,,,,,,,,,,,,,,
Niksic,Montenegro,new mining cost - Total,,,,,,,,,,,,,,,,,
Niksic,Montenegro,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,
Niksic,Montenegro,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,
Niksic,Montenegro,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,
Niksic,Montenegro,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,
Niksic,Montenegro,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,
Niksic,Montenegro,new royalties n duties cost - other,,,,,,,,,,,,,,,,,
Niksic,Montenegro,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,
Niksic,Montenegro,transport cost broken down - diesel,,,,,,,,,,,,,,,,,
Niksic,Montenegro,transport cost broken down - local denomination,,,,,,,,,,,,,,,,,
Niksic,Montenegro,transport cost broken down - other,,,,,,,,,,,,,,,,,
Niksic,Montenegro,new transport cost - diesel,,,,,,,,,,,,,,,,,
Niksic,Montenegro,new transport cost - local denomination,,,,,,,,,,,,,,,,,
Niksic,Montenegro,new transport cost - other,,,,,,,,,,,,,,,,,
Niksic,Montenegro,new transport cost - Total,,,,,,,,,,,,,,,,,
Niksic,Montenegro,Freight on Panamax,,,,,,,,,,,,,,,,,
Niksic,Montenegro,Freight on Capesize,,,,,,,,,,,,,,,,,
Niksic,Montenegro,Freight for vessel choosen,,,,,,,,,,,,,,,,,
Niksic,Montenegro,Capital cost of mine (inc. all infrasturure for export),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Niksic,Montenegro,Life of mine,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Niksic,Montenegro,constructiuon period for mine & infrastructure,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Niksic,Montenegro,IRR required for project,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Niksic,Montenegro,Sustaining Capital Charge ($/t),1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668
Niksic,Montenegro,Partner & Other payments,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niksic,Montenegro,capital payback charge - before adjustment,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313,-2.240748594109313
Niksic,Montenegro,"adjustment (new project, expansion, old mine)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niksic,Montenegro,capital payback charge,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Niksic,Montenegro,C1 Cost FOB,37.0,37.0,30.350437866,32.131488144,32.186158495,32.240828846,,,,,,,,,,,
Niksic,Montenegro,C1 Cost CFR Shandong,,,,,,,,,,,,,,,,,
Niksic,Montenegro,Cost FOB inc. Sustaining Capital,38.46666666666667,38.46666666666667,31.81710453266667,33.59815481066667,33.65282516166667,33.70749551266667,,,,,,,,,,,
