mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
North Onega,Russia,LT Avail AA,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
North Onega,Russia,Total Alumina,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
North Onega,Russia,LT React. Silica,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
North Onega,Russia,Total Silica,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
North Onega,Russia,Monhydrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Onega,Russia,Moisture,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
North Onega,Russia,Bauxite style,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B
North Onega,Russia,Total Organic Carbon,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
North Onega,Russia,Vessel size,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize
North Onega,Russia,quartz,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004
North Onega,Russia,LT processing,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744
North Onega,Russia,HT-B processing,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503,3.2679738562091503
North Onega,Russia,HT-D processing,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553,3.56582513193553
North Onega,Russia,LT processing,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143
North Onega,Russia,HT-B processing,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236,0.08941176470588236
North Onega,Russia,HT-D processing,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545,0.17115960633290545
North Onega,Russia,LT - Alumina,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
