mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Rondon do Para,Brazil,LT Avail AA,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.428
Rondon do Para,Brazil,Total Alumina,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
Rondon do Para,Brazil,LT React. Silica,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039
Rondon do Para,Brazil,Total Silica,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Rondon do Para,Brazil,Monhydrate,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
Rondon do Para,Brazil,Moisture,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Rondon do Para,Brazil,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Rondon do Para,Brazil,Total Organic Carbon,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Rondon do Para,Brazil,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize
Rondon do Para,Brazil,quartz,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003
Rondon do Para,Brazil,LT processing,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157
Rondon do Para,Brazil,HT-B processing,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046,2.611306959133046
Rondon do Para,Brazil,HT-D processing,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786,2.7199782401740786
Rondon do Para,Brazil,LT processing,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028,0.0911214953271028
Rondon do Para,Brazil,HT-B processing,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858,0.05192596944770858
Rondon do Para,Brazil,HT-D processing,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236,0.08159934720522236
Rondon do Para,Brazil,LT - Alumina,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997
Rondon do Para,Brazil,HT-B - Alumina,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
Rondon do Para,Brazil,HT-D - Alumina,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
Rondon do Para,Brazil,LT - Silica,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039
Rondon do Para,Brazil,HT-B - Silica,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445
Rondon do Para,Brazil,HT-D - Silica,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Rondon do Para,Brazil,Moisture,0.13,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,2015 C1 mining cost,18.0,18.0,14.05669872,15.96551354,15.98306715,16.74723104,,,,,,,,,,,
Rondon do Para,Brazil,Duties and royalties,25.0,25.0,17.76359445,22.06345354,22.07453537,24.28522657,,,,,,,,,,,
Rondon do Para,Brazil,2015 C1 transp. cost inc ship loading,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Rondon do Para,Brazil,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Rondon do Para,Brazil,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,% mining cost = diesel,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,other mining cost %,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,other royalties n duties cost %,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,% transport cost = diesel,0.15,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,% transport cost = local currency denominated,0.7,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,other transport cost %,0.15000000000000002,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,mining cost broken down - diesel,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,mining cost broken down - other,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,new mining cost - diesel,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,new mining cost - local denomination,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,new mining cost - other,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,new mining cost - Total,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,new royalties n duties cost - other,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,transport cost broken down - diesel,0.0,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,transport cost broken down - local denomination,0.0,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,transport cost broken down - other,0.0,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,new transport cost - diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rondon do Para,Brazil,new transport cost - local denomination,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,new transport cost - other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rondon do Para,Brazil,new transport cost - Total,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,Freight on Panamax,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,Freight on Capesize,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,Freight for vessel choosen,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,Capital cost of mine (inc. all infrasturure for export),29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5
Rondon do Para,Brazil,Life of mine,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Rondon do Para,Brazil,constructiuon period for mine & infrastructure,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Rondon do Para,Brazil,IRR required for project,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Rondon do Para,Brazil,Sustaining Capital Charge ($/t),2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336
Rondon do Para,Brazil,Partner & Other payments,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rondon do Para,Brazil,capital payback charge - before adjustment,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308
Rondon do Para,Brazil,"adjustment (new project, expansion, old mine)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rondon do Para,Brazil,capital payback charge,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Rondon do Para,Brazil,C1 Cost FOB,43.0,43.0,31.82029317,38.02896708,38.05760252,41.032457609999994,,,,,,,,,,,
Rondon do Para,Brazil,C1 Cost CFR Shandong,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,Cost FOB inc. Sustaining Capital,45.163333333333334,45.163333333333334,33.98362650333333,40.192300413333335,40.22093585333334,43.19579094333333,,,,,,,,,,,
Rondon do Para,Brazil,Cost CFR inc. Sustaining Capital,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,Full cost FOB,45.163333333333334,45.163333333333334,33.98362650333333,40.192300413333335,40.22093585333334,43.19579094333333,,,,,,,,,,,
Rondon do Para,Brazil,Full cost CFR Shandong = Incentive price,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,Price CFR Shandong - not in use,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,Margin C1,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,Margin inc. Sustaining Capital,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,Margin at Full Cost,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Rondon do Para,Brazil,Alumina (%),0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997,0.46699999999999997
Rondon do Para,Brazil,Silica (%),0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039
Rondon do Para,Brazil,Moisture (%),0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Rondon do Para,Brazil,t/t (dry bauxite/alumina),2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157,2.596053997923157
Rondon do Para,Brazil,2015 C1 mining cost ($/t),18.0,18.0,14.05669872,15.96551354,15.98306715,16.74723104,,,,,,,,,,,
Rondon do Para,Brazil,2015 C1 transp. cost ($/t),0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Rondon do Para,Brazil,ST Freight to China ($/dmt),,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,C1 Cost CFR,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,C1 Cost FOB,43.0,43.0,31.82029317,38.02896708,38.05760252,41.032457609999994,,,,,,,,,,,
Rondon do Para,Brazil,Capital Payback ($/t)Charge,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308,-2.5975685024806308
Rondon do Para,Brazil,Sustaining Capital Charge ($/t),2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336,2.1633333333333336
Rondon do Para,Brazil,Cash + Sustaining Capital CFR,,,,,,,,,,,,,,,,,
Rondon do Para,Brazil,Full Cost,,,,,,,,,,,,,,,,,
