mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Solomon Islands,Solomon Islands,LT Avail AA,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
Solomon Islands,Solomon Islands,Total Alumina,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
Solomon Islands,Solomon Islands,LT React. Silica,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Solomon Islands,Solomon Islands,Total Silica,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
Solomon Islands,Solomon Islands,Monhydrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,Solomon Islands,Moisture,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Solomon Islands,Solomon Islands,Bauxite style,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B
Solomon Islands,Solomon Islands,Total Organic Carbon,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High
Solomon Islands,Solomon Islands,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Solomon Islands,Solomon Islands,quartz,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992,0.0009999999999999992
Solomon Islands,Solomon Islands,LT processing,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278,2.3640661938534278
Solomon Islands,Solomon Islands,HT-B processing,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983,2.3665838362323983
Solomon Islands,Solomon Islands,HT-D processing,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208,2.381956205353208
Solomon Islands,Solomon Islands,LT processing,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854
Solomon Islands,Solomon Islands,HT-B processing,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578,0.011064962726304578
Solomon Islands,Solomon Islands,HT-D processing,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117,0.01572091095533117
Solomon Islands,Solomon Islands,LT - Alumina,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
Solomon Islands,Solomon Islands,HT-B - Alumina,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
Solomon Islands,Solomon Islands,HT-D - Alumina,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
Solomon Islands,Solomon Islands,LT - Silica,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Solomon Islands,Solomon Islands,HT-B - Silica,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999,0.010499999999999999
Solomon Islands,Solomon Islands,HT-D - Silica,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
Solomon Islands,Solomon Islands,Moisture,0.15,,,,,,,,,,,,,,,,
