mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Timan,Russia,LT Avail AA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Timan,Russia,Total Alumina,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Timan,Russia,LT React. Silica,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Timan,Russia,Total Silica,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Timan,Russia,Monhydrate,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085
Timan,Russia,Moisture,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Timan,Russia,Bauxite style,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D
Timan,Russia,Total Organic Carbon,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Timan,Russia,Vessel size,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize
Timan,Russia,quartz,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044
Timan,Russia,LT processing,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.7777777777777777
Timan,Russia,HT-B processing,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964,2.3028209556706964
Timan,Russia,HT-D processing,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675,2.3951522119230675
Timan,Russia,LT processing,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625
Timan,Russia,HT-B processing,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907,0.07018134715025907
Timan,Russia,HT-D processing,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884,0.10059639290076884
Timan,Russia,LT - Alumina,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465
Timan,Russia,HT-B - Alumina,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Timan,Russia,HT-D - Alumina,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Timan,Russia,LT - Silica,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
