mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Turgai,Kazakhstan,LT Avail AA,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
Turgai,Kazakhstan,Total Alumina,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Turgai,Kazakhstan,LT React. Silica,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Turgai,Kazakhstan,Total Silica,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Turgai,Kazakhstan,Monhydrate,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Turgai,Kazakhstan,Moisture,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Turgai,Kazakhstan,Bauxite style,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B
Turgai,Kazakhstan,Total Organic Carbon,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Turgai,Kazakhstan,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Turgai,Kazakhstan,quartz,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044
Turgai,Kazakhstan,LT processing,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223
Turgai,Kazakhstan,HT-B processing,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626,2.9433406916850626
Turgai,Kazakhstan,HT-D processing,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195,3.0859911432054195
Turgai,Kazakhstan,LT processing,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
Turgai,Kazakhstan,HT-B processing,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914,0.0666225165562914
Turgai,Kazakhstan,HT-D processing,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136,0.12035365458501136
Turgai,Kazakhstan,LT - Alumina,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
Turgai,Kazakhstan,HT-B - Alumina,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Turgai,Kazakhstan,HT-D - Alumina,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Turgai,Kazakhstan,LT - Silica,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Turgai,Kazakhstan,HT-B - Silica,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
Turgai,Kazakhstan,HT-D - Silica,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Turgai,Kazakhstan,Moisture,0.13,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,2015 C1 mining cost,10.0,10.0,8.156885619,8.638250557000001,8.653026328,8.6678021,,,,,,,,,,,
Turgai,Kazakhstan,Duties and royalties,7.0,7.0,5.7098199329999995,6.04677539,6.05711843,6.06746147,,,,,,,,,,,
Turgai,Kazakhstan,2015 C1 transp. cost inc ship loading,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Turgai,Kazakhstan,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Turgai,Kazakhstan,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,% mining cost = diesel,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,other mining cost %,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,other royalties n duties cost %,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,% transport cost = diesel,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,other transport cost %,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,mining cost broken down - diesel,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,mining cost broken down - other,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,new mining cost - diesel,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,new mining cost - local denomination,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,new mining cost - other,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,new mining cost - Total,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,new royalties n duties cost - other,,,,,,,,,,,,,,,,,
Turgai,Kazakhstan,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,
