mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Vietnam Others,Vietnam,LT Avail AA,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033
Vietnam Others,Vietnam,Total Alumina,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Vietnam Others,Vietnam,LT React. Silica,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032
Vietnam Others,Vietnam,Total Silica,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055
Vietnam Others,Vietnam,Monhydrate,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465
Vietnam Others,Vietnam,Moisture,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Vietnam Others,Vietnam,Bauxite style,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D,HT-D
Vietnam Others,Vietnam,Total Organic Carbon,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Vietnam Others,Vietnam,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Vietnam Others,Vietnam,quartz,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
Vietnam Others,Vietnam,LT processing,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367,33.67003367003367
Vietnam Others,Vietnam,HT-B processing,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507,2.283887175973507
Vietnam Others,Vietnam,HT-D processing,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041,2.403181812720041
Vietnam Others,Vietnam,LT processing,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697
Vietnam Others,Vietnam,HT-B processing,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258,0.0556382322713258
Vietnam Others,Vietnam,HT-D processing,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136,0.07930499981976136
Vietnam Others,Vietnam,LT - Alumina,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Vietnam Others,Vietnam,HT-B - Alumina,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Vietnam Others,Vietnam,HT-D - Alumina,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Vietnam Others,Vietnam,LT - Silica,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032
Vietnam Others,Vietnam,HT-B - Silica,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435
Vietnam Others,Vietnam,HT-D - Silica,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055
Vietnam Others,Vietnam,Moisture,0.05,,,,,,,,,,,,,,,,
Vietnam Others,Vietnam,2015 C1 mining cost,4.591426688,4.591426688,3.8131006710000004,4.0120976939999995,4.0,3.990883658,,,,,,,,,,,
Vietnam Others,Vietnam,Duties and royalties,12.76760976,12.76760976,10.60327969,11.15664066,11.123,11.09764973,,,,,,,,,,,
Vietnam Others,Vietnam,2015 C1 transp. cost inc ship loading,2.165568312,2.165568312,2.0771627969999997,2.035622916,2.0,1.970001759,,,,,,,,,,,
