mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Willowdale,Australia,LT Avail AA,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
Willowdale,Australia,Total Alumina,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
Willowdale,Australia,LT React. Silica,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Willowdale,Australia,Total Silica,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Willowdale,Australia,Monhydrate,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Willowdale,Australia,Moisture,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Willowdale,Australia,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Willowdale,Australia,Total Organic Carbon,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High,V_High
Willowdale,Australia,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Willowdale,Australia,quartz,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
Willowdale,Australia,LT processing,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223,3.4722222222222223
Willowdale,Australia,HT-B processing,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555,4.7281323877068555
Willowdale,Australia,HT-D processing,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134,11.820330969267134
Willowdale,Australia,LT processing,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001,0.03125000000000001
Willowdale,Australia,HT-B processing,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362,0.4142553191489362
Willowdale,Australia,HT-D processing,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561,1.4184397163120561
Willowdale,Australia,LT - Alumina,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
Willowdale,Australia,HT-B - Alumina,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
Willowdale,Australia,HT-D - Alumina,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
Willowdale,Australia,LT - Silica,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Willowdale,Australia,HT-B - Silica,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105
Willowdale,Australia,HT-D - Silica,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Willowdale,Australia,Moisture,0.08,,,,,,,,,,,,,,,,
Willowdale,Australia,2015 C1 mining cost,6.67,6.67,5.773150337000001,6.047056992999999,5.99964838,5.909109205,,,,,,,,,,,
Willowdale,Australia,Duties and royalties,5.824412003,5.824412003,5.041260287,5.2804424789999995,5.239044084,5.159982996,,,,,,,,,,,
Willowdale,Australia,2015 C1 transp. cost inc ship loading,3.55,3.55,3.234645214,3.3346409660000003,3.247688138,3.091173047,,,,,,,,,,,
Willowdale,Australia,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103
Willowdale,Australia,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,
Willowdale,Australia,% mining cost = diesel,,,,,,,,,,,,,,,,,
Willowdale,Australia,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,
